1,37.79731,-122.401396,5,0,0,0,0
2,37.797654,-122.395,3,6,0,0,0
3,37.79737,-122.396806,2,4,8,9,0
4,37.797167,-122.398344,3,51,9,0,0
5,37.796782,-122.40128,1,51,11,0,0
6,37.796761,-122.39425,2,7,12,0,0
7,37.796413,-122.395504,6,8,0,0,0
8,37.796284,-122.396608,3,7,9,13,0
9,37.796095,-122.398136,4,8,10,15,3
10,37.79592,-122.399613,9,11,16,0,0
11,37.795677,-122.401055,5,10,18,0,0
12,37.795655,-122.393527,6,14,17,0,0
13,37.795152,-122.396382,8,15,22,0,0
14,37.795042,-122.394175,12,20,21,0,0
15,37.794966,-122.397903,9,13,16,23,0
16,37.794771,-122.399375,10,15,18,24,0
17,37.79475,-122.39223,12,21,0,0,0
18,37.794591,-122.400841,11,16,19,27,0
19,37.7944,-122.402317,18,29,0,0,0
20,37.794191,-122.395243,14,25,30,22,0
21,37.794088,-122.392979,14,17,26,0,0
22,37.79399,-122.39616,13,23,25,20,0
23,37.793787,-122.39767,15,22,24,32,0
24,37.793602,-122.399139,16,23,27,33,0
25,37.793525,-122.396062,20,22,28,0,0
26,37.79344,-122.39215,21,30,0,0,0
27,37.793417,-122.400613,18,24,29,34,0
28,37.793293,-122.396305,25,32,37,0,0
29,37.793229,-122.402082,19,27,35,0,0
30,37.79258,-122.393245,20,26,37,38,0
31,37.792545,-122.397694,32,33,0,0,0
32,37.79243,-122.39739,23,28,31,39,42
33,37.792392,-122.398903,24,31,34,36,0
34,37.792202,-122.400368,27,33,35,40,0
35,37.792021,-122.401851,29,34,41,0,0
36,37.791714,-122.39876,33,39,0,0,0
37,37.79168,-122.394315,28,30,42,45,0
38,37.79167,-122.392122,30,0,0,0,0
39,37.791535,-122.39851,32,36,43,46,0
40,37.791,-122.400121,34,41,43,44,0
41,37.790836,-122.401608,35,40,48,0,0
42,37.7908,-122.3954,32,37,46,49,0
43,37.790664,-122.399595,39,40,44,50,0
44,37.790301,-122.400051,40,43,47,0,0
45,37.790113,-122.39239,37,49,0,0,0
46,37.789923,-122.396496,39,42,0,0,0
47,37.789735,-122.400765,44,48,0,0,0
48,37.789686,-122.401371,41,47,0,0,0
49,37.789686,-122.394008,42,45,0,0,0
50,37.789686,-122.398366,43,0,0,0,0
51,37.796987,-122.399741,4,5,0,0,0
